char,ucn,kRSUnicode,kTotalStrokes,kIICore,kUnihanCore2020,IsHCoreSim
䠪,U+482A,157.14,21,,,
䠫,U+482B,157.14,21,,,
䠬,U+482C,157.15,22,,,
䠭,U+482D,157.16,23,,,
䠮,U+482E,157.16,23,,,
䠯,U+482F,157.17,24,,,
䠰,U+4830,157.18,25,,,
䠱,U+4831,157.21,28,,,
䠲,U+4832,158.5,12,,,
䠳,U+4833,158.5,12,,,
䠴,U+4834,158.5,12,,,
䠵,U+4835,158.5,12,,,
䠶,U+4836,158.5,12,,,
䠷,U+4837,158.6,13,,H,
䠸,U+4838,158.6,13,,,
䠹,U+4839,158.6,13,,,
䠺,U+483A,158.6,13,,,
䠻,U+483B,158.8,15,,,
䠼,U+483C,158.9,16,,,
䠽,U+483D,158.10,17,,,
䠾,U+483E,158.10,17,,,
䠿,U+483F,158.12,19,,,
䡀,U+4840,158.13,20,,,
䡁,U+4841,158.16,23,,,
䡂,U+4842,159.2,9,,,
䡃,U+4843,159.2,9,,,
䡄,U+4844,159.2,9,,,
䡅,U+4845,159.3,10,,,
䡆,U+4846,159.4,11,,,
䡇,U+4847,159.4,11,,,
䡈,U+4848,159.4,11,,,
䡉,U+4849,159.4,11,,,
䡊,U+484A,159.4,11,,,
䡋,U+484B,159.4,11,,,
䡌,U+484C,159.4,11,,,
䡍,U+484D,159.4,11,,,
䡎,U+484E,159.4,11,,,
䡏,U+484F,159.5,12,,,
䡐,U+4850,159.5,12,,,
䡑,U+4851,159.5,12,,,
䡒,U+4852,159.5,12,,,
䡓,U+4853,159.6,13,,,
䡔,U+4854,159.6,13,,,
䡕,U+4855,159.6,13,,,
䡖,U+4856,159.6,13,,,
䡗,U+4857,159.6,13,,,
䡘,U+4858,159.7,14,,,
䡙,U+4859,159.7,14,,,
䡚,U+485A,159.7,14,,,
䡛,U+485B,159.7,14,,,
䡜,U+485C,159.8,15,,,
䡝,U+485D,159.8,15,,H,
䡞,U+485E,159.8,15,,,
䡟,U+485F,159.8,15,,,
䡠,U+4860,159.9,16,,,
䡡,U+4861,159.9,16,,,
䡢,U+4862,159.9,16,,,
䡣,U+4863,159.9,16,,,
䡤,U+4864,159.9,16,,,
䡥,U+4865,159.10,17,,,
䡦,U+4866,159.10,17,,,
䡧,U+4867,159.10,17,,,
䡨,U+4868,159.10,17,,,
䡩,U+4869,159.10,17,,,
䡪,U+486A,159.10,17,,,
䡫,U+486B,159.11,18,,,
䡬,U+486C,159.11,18,,,
䡭,U+486D,159.11,18,,,
䡮,U+486E,159.11,18,,,
䡯,U+486F,159.11,18,,,
䡰,U+4870,159.11,18,,,
䡱,U+4871,159.11,18,,H,
䡲,U+4872,159.12,19,,,
䡳,U+4873,159.12,19,,,
䡴,U+4874,159.12,19,,,
䡵,U+4875,159.12,19,,,
䡶,U+4876,159.13,20,,,
䡷,U+4877,159.14,21,,,
䡸,U+4878,159.14,21,,,
䡹,U+4879,159.14,21,,,
䡺,U+487A,159.15,22,,,
䡻,U+487B,159.15,22,,,
䡼,U+487C,159.17,24,,,
䡽,U+487D,159.19,26,,,
䡾,U+487E,159.20,27,,,
䡿,U+487F,159.24,31,,,
䢀,U+4880,159'.3,10,,,
䢁,U+4881,159'.4,11,,,
䢂,U+4882,159'.5,9,,,h
䢃,U+4883,160.8,15,,,
䢄,U+4884,160.13,20,,,
䢅,U+4885,161.6,13,,,
䢆,U+4886,161.7,14,,,
䢇,U+4887,161.8,15,,,
䢈,U+4888,161.13,20,,,
䢉,U+4889,161.13,20,,,
䢊,U+488A,162.3,7,,,
䢋,U+488B,162.3,7,,,
䢌,U+488C,162.4,8,,,
䢍,U+488D,162.4,8,,,
䢎,U+488E,162.4,8,,,
䢏,U+488F,162.4,8,,,
䢐,U+4890,162.5,9,,,
䢑,U+4891,162.5,9,,,
䢒,U+4892,162.6,10,,,
䢓,U+4893,162.6,10,,,
䢔,U+4894,162.6,10,,,
䢕,U+4895,162.6,10,,,
䢖,U+4896,162.6,10,,,
䢗,U+4897,162.6,10,,,
䢘,U+4898,162.6,10,,,
䢙,U+4899,162.7,11,,,
䢚,U+489A,162.7,11,,,
䢛,U+489B,162.7,11,,H,
䢜,U+489C,162.8,12,,,
䢝,U+489D,162.8,12,,,
䢞,U+489E,162.8,12,,,
䢟,U+489F,162.8,12,,,
䢠,U+48A0,162.8,12,,,
䢡,U+48A1,162.9,13,,,
䢢,U+48A2,162.10,14,,,
䢣,U+48A3,162.10,14,,,
䢤,U+48A4,162.10,14,,,
䢥,U+48A5,162.10,14,,,
䢦,U+48A6,162.11,15,,,
䢧,U+48A7,162.11,15,,,
䢨,U+48A8,162.11,15,,,
䢩,U+48A9,162.11,15,,,
䢪,U+48AA,162.12,16,,,
䢫,U+48AB,162.12,16,,,
䢬,U+48AC,162.12,16,,,
䢭,U+48AD,162.12,16,,H,
䢮,U+48AE,162.13,17,,H,
䢯,U+48AF,162.14,18,,,
䢰,U+48B0,162.14,18,,,
䢱,U+48B1,162.15,19,,,
䢲,U+48B2,162.20,24,,,
䢳,U+48B3,163.2,5,,,
䢴,U+48B4,163.3,6,,,
䢵,U+48B5,163.4,7,CG,G,
䢶,U+48B6,163.4,7,,,
䢷,U+48B7,163.4,7,,,
䢸,U+48B8,163.5,8,,,
䢹,U+48B9,163.5,8,,,
䢺,U+48BA,163.5,8,,G,
䢻,U+48BB,163.6,9,,,
䢼,U+48BC,163.6,9,CG,G,
䢽,U+48BD,163.6,13,,,
䢾,U+48BE,163.6,9,,,
䢿,U+48BF,163.6,9,,,
䣀,U+48C0,163.6,9,,,
䣁,U+48C1,163.6,9,,,
䣂,U+48C2,163.6,9,,,
䣃,U+48C3,163.7,10,,,
䣄,U+48C4,163.7,10,,,
䣅,U+48C5,163.7,10,CG,G,
䣆,U+48C6,163.7,10,,,
䣇,U+48C7,163.7,10,,,
䣈,U+48C8,163.7,14,,,
䣉,U+48C9,163.7,14,,,
䣊,U+48CA,163.8,11,,,
䣋,U+48CB,163.8,11,,,
䣌,U+48CC,163.8,11,,,
䣍,U+48CD,163.8,11,,,
䣎,U+48CE,163.8,11,,,
䣏,U+48CF,163.8,11,,,
䣐,U+48D0,163.9,12,,H,
䣑,U+48D1,163.9,12,,,
䣒,U+48D2,163.9,12,,,
䣓,U+48D3,163.10,13,CG,G,
䣔,U+48D4,163.10,13,,,
䣕,U+48D5,163.10,13,,,
䣖,U+48D6,163.10,17,,,
䣗,U+48D7,163.10,13,,,
䣘,U+48D8,163.11,14,,G,
䣙,U+48D9,163.11,14,,,
䣚,U+48DA,163.11,14,,,
䣛,U+48DB,163.11,14,,,
䣜,U+48DC,163.11,14,,,
䣝,U+48DD,163.12,15,,H,
䣞,U+48DE,163.12,15,,,
䣟,U+48DF,163.12,15,,,
䣠,U+48E0,163.12,15,,,
䣡,U+48E1,163.13,16,,,
䣢,U+48E2,163.14,17,,,
䣣,U+48E3,163.20,23,,,
䣤,U+48E4,163.20,23,,,
䣥,U+48E5,164.2,9,,,
䣦,U+48E6,164.2,9,,,
䣧,U+48E7,164.3,10,,,
䣨,U+48E8,164.3,10,,,
䣩,U+48E9,164.4,11,,,
䣪,U+48EA,164.4,11,,,
䣫,U+48EB,164.4,11,,,
䣬,U+48EC,164.4,11,,,
䣭,U+48ED,164.4,11,,H,
䣮,U+48EE,164.5,12,,,
䣯,U+48EF,164.5,12,,,
䣰,U+48F0,164.5,12,,,
䣱,U+48F1,164.5,13,,,
䣲,U+48F2,164.5,12,,,
䣳,U+48F3,164.5,12,,H,
䣴,U+48F4,164.6,13,,,
䣵,U+48F5,164.6,13,,,
䣶,U+48F6,164.6,13,,,
䣷,U+48F7,164.6,13,,,
䣸,U+48F8,164.6,13,,,
䣹,U+48F9,164.6,13,,,
䣺,U+48FA,164.7,14,,H,
䣻,U+48FB,164.7,14,,,
䣼,U+48FC,164.8,15,,,
䣽,U+48FD,164.8,15,,,
䣾,U+48FE,164.8,15,,,
䣿,U+48FF,164.8,15,,,
䤀,U+4900,164.9,16,,,
䤁,U+4901,164.9,16,,,
䤂,U+4902,164.9,16,,,
䤃,U+4903,164.9,16,,,
䤄,U+4904,164.9,16,,,
䤅,U+4905,164.9,16,,,
䤆,U+4906,164.9,16,,H,
䤇,U+4907,164.9,16,,,
䤈,U+4908,164.9,16,,,
䤉,U+4909,164.10,17,,,
䤊,U+490A,164.10,17,,,
䤋,U+490B,164.10,17,,,
䤌,U+490C,164.10,17,,,
䤍,U+490D,164.11,18,,,
䤎,U+490E,164.12,19,,,
䤏,U+490F,164.12,19,,,
䤐,U+4910,164.12,19,,,
䤑,U+4911,164.12,19,,H,
䤒,U+4912,164.12,19,,,
䤓,U+4913,164.14,21,,,
䤔,U+4914,164.14,21,,,
䤕,U+4915,164.15,22,,,
䤖,U+4916,164.15,22,,,
䤗,U+4917,164.17,24,,,
䤘,U+4918,164.17,24,,,
䤙,U+4919,164.21,28,,,
䤚,U+491A,166.4,11,,,
䤛,U+491B,167.2,10,,,
䤜,U+491C,167.3,11,,,
䤝,U+491D,167.4,12,,,
䤞,U+491E,167.4,12,,H,
䤟,U+491F,167.4,12,,,
䤠,U+4920,167.4,12,,,
䤡,U+4921,167.5,13,,,
䤢,U+4922,167.5,13,,,
䤣,U+4923,167.5,13,,,
䤤,U+4924,167.6,14,,,
䤥,U+4925,167.6,14,,H,
䤦,U+4926,167.6,14,,,
䤧,U+4927,167.6,14,,,
䤨,U+4928,167.6,14,,,
䤩,U+4929,167.6,14,,,
䤪,U+492A,167.6,14,,H,
䤫,U+492B,167.7,15,,,
䤬,U+492C,167.7,15,,,
䤭,U+492D,167.7,15,,H,
䤮,U+492E,167.7,15,,,
䤯,U+492F,167.7,15,,H,
䤰,U+4930,167.7,15,,H,
䤱,U+4931,167.7,15,,,
䤲,U+4932,167.7,15,,,
䤳,U+4933,167.8,16,,,
䤴,U+4934,167.8,16,,,
䤵,U+4935,167.8,16,,H,
䤶,U+4936,167.8,16,,,
䤷,U+4937,167.9,17,,,
䤸,U+4938,167.9,17,,,
䤹,U+4939,167.9,17,,,
䤺,U+493A,167.9,17,,,
䤻,U+493B,167.9,17,,,
䤼,U+493C,167.9,17,,H,
䤽,U+493D,167.10,18,,,
䤾,U+493E,167.10,18,,H,
䤿,U+493F,167.10,18,,,
䥀,U+4940,167.10,18,,,
䥁,U+4941,167.10,18,,,
䥂,U+4942,167.10,18,,,
䥃,U+4943,167.10,18,,,
䥄,U+4944,167.10,18,,,
䥅,U+4945,167.10,18,,H,
䥆,U+4946,167.10,18,,,
䥇,U+4947,167.10,18,,,
䥈,U+4948,167.11,19,,,
䥉,U+4949,167.11,19,,,
䥊,U+494A,167.11,19,,,
䥋,U+494B,167.11,19,,,
䥌,U+494C,167.11,19,,,
䥍,U+494D,167.11,19,,,
䥎,U+494E,167.11,19,,,
䥏,U+494F,167.11,19,,,
䥐,U+4950,167.11,19,,,
䥑,U+4951,167.11,19,,H,
䥒,U+4952,167.11,19,,,
䥓,U+4953,167.11,19,,H,
䥔,U+4954,167.12,20,,,
䥕,U+4955,167.12,20,,,
䥖,U+4956,167.12,20,,,
䥗,U+4957,167.12,20,,,
䥘,U+4958,167.12,20,,,
䥙,U+4959,167.12,20,,,
䥚,U+495A,167.12,20,,,
䥛,U+495B,167.12,20,,,
䥜,U+495C,167.12,20,,,
䥝,U+495D,167.13,21,,,
䥞,U+495E,167.13,21,,,
䥟,U+495F,167.13,21,,,
䥠,U+4960,167.13,21,,,
䥡,U+4961,167.13,21,,,
䥢,U+4962,167.13,21,,,
䥣,U+4963,167.13,21,,,
䥤,U+4964,167.13,21,,,
䥥,U+4965,167.13,21,,H,
䥦,U+4966,167.13,21,,,
䥧,U+4967,167.14,22,,,
䥨,U+4968,167.14,22,,,
䥩,U+4969,167.14,22,,,
䥪,U+496A,167.14,22,,H,
䥫,U+496B,167.14,22,,,
䥬,U+496C,167.14,22,,,
䥭,U+496D,167.14,22,,,
䥮,U+496E,167.14,22,,,
䥯,U+496F,167.15,23,,,
䥰,U+4970,167.15,23,,,
䥱,U+4971,167.15,23,,,
䥲,U+4972,167.15,23,,H,
䥳,U+4973,167.15,23,,,
䥴,U+4974,167.15,23,,,
䥵,U+4975,167.16,24,,,
䥶,U+4976,167.16,24,,,
䥷,U+4977,167.16,24,,,
䥸,U+4978,167.17,25,,,
䥹,U+4979,167.21,29,,,
䥺,U+497A,167'.4,12,,,
䥻,U+497B,167'.4,12,,,
䥼,U+497C,167'.4,12,,,
䥽,U+497D,167'.5,13,,G,
䥾,U+497E,167'.5,13,,,
䥿,U+497F,167'.5,13,,,
䦀,U+4980,167'.6,14,,,
䦁,U+4981,167'.7,15,,,
䦂,U+4982,167'.10,18,,,
䦃,U+4983,167'.12,20,,G,
䦄,U+4984,167'.12,20,,,
䦅,U+4985,167'.12,20,,,
䦆,U+4986,167'.20,28,,,
䦇,U+4987,168.3,11,,,
䦈,U+4988,168.5,13,,,
䦉,U+4989,168.5,13,,H,
䦊,U+498A,168.6,14,,,
䦋,U+498B,168.11,19,,,
䦌,U+498C,169.3,11,,,
䦍,U+498D,169.3,11,,,
䦎,U+498E,169.4,12,,,
䦏,U+498F,169.4,12,,,
䦐,U+4990,169.4,12,,,
䦑,U+4991,169.4,12,,,
䦒,U+4992,169.5,13,,,
䦓,U+4993,169.5,13,,,
䦔,U+4994,169.5,13,,,
䦕,U+4995,169.6,14,,,
䦖,U+4996,169.6,14,,,
䦗,U+4997,169.6,14,,,
䦘,U+4998,169.6,14,,,
䦙,U+4999,169.6,14,,,
䦚,U+499A,169.6,14,,,
䦛,U+499B,169.6,14,,,
䦜,U+499C,169.7,15,,,
䦝,U+499D,169.7,15,,,
䦞,U+499E,169.7,15,,,
䦟,U+499F,169.7,15,,,
䦠,U+49A0,169.8,16,,,
䦡,U+49A1,169.8,16,,H,
䦢,U+49A2,169.8,16,,,
䦣,U+49A3,169.8,16,,,
䦤,U+49A4,169.8,16,,,
䦥,U+49A5,169.8,16,,,
䦦,U+49A6,169.8,16,,,
䦧,U+49A7,169.8,16,,H,
䦨,U+49A8,169.8,16,,,
䦩,U+49A9,169.9,17,,,
䦪,U+49AA,169.9,17,,,
䦫,U+49AB,169.9,17,,,
䦬,U+49AC,169.9,17,,,
䦭,U+49AD,169.9,17,,,
䦮,U+49AE,169.9,17,,,
䦯,U+49AF,169.9,17,,,
䦰,U+49B0,169.11,19,,,
䦱,U+49B1,169.12,20,,,
䦲,U+49B2,169.13,21,,,
䦳,U+49B3,169.13,21,,,
䦴,U+49B4,169.13,21,,,
䦵,U+49B5,169.14,22,,,
䦶,U+49B6,169'.6,14,,,
䦷,U+49B7,169'.7,15,,,
䦸,U+49B8,169'.9,17,,,
䦹,U+49B9,170.2,5,,,
䦺,U+49BA,170.2,5,,,
䦻,U+49BB,170.3,6,,,
䦼,U+49BC,170.4,7,,,
䦽,U+49BD,170.4,7,,,
䦾,U+49BE,170.4,10,,,
䦿,U+49BF,170.4,7,,,
䧀,U+49C0,170.4,7,,,
䧁,U+49C1,170.5,8,,,
䧂,U+49C2,170.5,8,,,
䧃,U+49C3,170.5,8,,,
䧄,U+49C4,170.6,9,,,
䧅,U+49C5,170.6,9,,,
䧆,U+49C6,170.6,9,,,
䧇,U+49C7,170.6,9,,,
䧈,U+49C8,170.6,9,,,
䧉,U+49C9,170.7,10,,,
䧊,U+49CA,170.7,10,,,
䧋,U+49CB,170.7,10,,,
䧌,U+49CC,170.7,10,,,
䧍,U+49CD,170.7,10,,,
䧎,U+49CE,170.7,10,,,
䧏,U+49CF,170.7,10,,,
䧐,U+49D0,170.8,11,,,
䧑,U+49D1,170.8,11,CG,G,
䧒,U+49D2,170.8,11,,,
䧓,U+49D3,170.8,11,,,
䧔,U+49D4,170.8,11,,,
䧕,U+49D5,170.8,11,,,
䧖,U+49D6,170.8,11,,,
䧗,U+49D7,170.9,12,,,
䧘,U+49D8,170.9,12,,,
䧙,U+49D9,170.9,12,,,
䧚,U+49DA,170.10,13,,,
䧛,U+49DB,170.10,13,,,
䧜,U+49DC,170.10,13,,,
䧝,U+49DD,170.10,13,,,
䧞,U+49DE,170.10,13,,,
䧟,U+49DF,170.10,13,,H,
䧠,U+49E0,170.11,14,,,
䧡,U+49E1,170.11,14,,,
䧢,U+49E2,170.11,14,,,
䧣,U+49E3,170.11,14,,,
䧤,U+49E4,170.12,15,,,
䧥,U+49E5,170.12,15,,H,
䧦,U+49E6,170.12,15,,,
䧧,U+49E7,170.13,16,,H,
䧨,U+49E8,170.13,16,,,
䧩,U+49E9,170.12,15,,,
䧪,U+49EA,170.13,16,,,
䧫,U+49EB,170.14,17,,,
䧬,U+49EC,170.14,17,,,
䧭,U+49ED,170.14,17,,,
䧮,U+49EE,170.16,19,,,
䧯,U+49EF,170.17,20,,,
䧰,U+49F0,170.18,21,,,
䧱,U+49F1,172.2,10,,,
䧲,U+49F2,172.3,11,,,
䧳,U+49F3,172.3,11,,,
䧴,U+49F4,172.4,12,,,
䧵,U+49F5,172.4,12,,,
䧶,U+49F6,172.4,12,,,
䧷,U+49F7,172.5,13,,,
䧸,U+49F8,172.5,13,,,
䧹,U+49F9,172.5 53.10,13,,,
䧺,U+49FA,172.5,13,,,
䧻,U+49FB,172.6,14,,,
䧼,U+49FC,172.7,15,,,
䧽,U+49FD,172.7,15,,,
䧾,U+49FE,172.8,16,,,
䧿,U+49FF,172.8,16,,,
䨀,U+4A00,119.10,16,,,
䨁,U+4A01,172.9,17,,,
䨂,U+4A02,172.9,17,,,
䨃,U+4A03,172.10,18,,,
䨄,U+4A04,172.11,19,,,
䨅,U+4A05,172.12,20,,,
䨆,U+4A06,172.12,20,,,
䨇,U+4A07,172.12,20,,,
䨈,U+4A08,172.14,22,,,
䨉,U+4A09,172.17,25,,,
䨊,U+4A0A,172.24,32,,,
䨋,U+4A0B,173.3,11,,,
䨌,U+4A0C,173.4,12,,,
䨍,U+4A0D,173.4,12,,,
䨎,U+4A0E,173.5,13,,,
䨏,U+4A0F,173.6,14,,H,
䨐,U+4A10,173.6,14,,,
䨑,U+4A11,173.6,14,,,
䨒,U+4A12,173.6,14,CK,K,
䨓,U+4A13,173.6,14,,,
䨔,U+4A14,173.6,14,,,
䨕,U+4A15,173.6,14,,,
䨖,U+4A16,173.6,14,,,
䨗,U+4A17,173.7,15,,,
䨘,U+4A18,173.7,15,,,
䨙,U+4A19,173.7,15,,,
䨚,U+4A1A,173.8,16,,,
䨛,U+4A1B,173.8,16,,,
䨜,U+4A1C,173.8,16,,,
䨝,U+4A1D,173.8,16,,H,
䨞,U+4A1E,173.9,17,,,
䨟,U+4A1F,173.9,17,,,
䨠,U+4A20,173.9,17,,,
䨡,U+4A21,173.9,17,,,
䨢,U+4A22,173.9,17,,,
䨣,U+4A23,173.9,17,,,
䨤,U+4A24,173.9,17,,H,
䨥,U+4A25,173.10,18,,,
䨦,U+4A26,173.10,18,,,
䨧,U+4A27,173.10,18,,,
䨨,U+4A28,173.10,18,,,
䨩,U+4A29,173.10,18,,,
䨪,U+4A2A,173.10,18,,,
䨫,U+4A2B,173.11,19,,,
䨬,U+4A2C,173.11,19,,,
䨭,U+4A2D,173.11,19,,,
䨮,U+4A2E,173.11,19,,,
䨯,U+4A2F,173.11,19,,,
䨰,U+4A30,173.12,20,,,
䨱,U+4A31,173.12,20,,,
䨲,U+4A32,173.14,22,,,
䨳,U+4A33,173.14,22,,,
䨴,U+4A34,173.14,22,,,
䨵,U+4A35,173.15,23,,H,
䨶,U+4A36,173.15,23,,,
䨷,U+4A37,173.16,24,,,
䨸,U+4A38,173.17,25,,,
䨹,U+4A39,173.19,27,,,
䨺,U+4A3A,173.28,36,,,
䨻,U+4A3B,173.44,52,,,
䨼,U+4A3C,174.14,22,,,
䨽,U+4A3D,175.3,11,,,
䨾,U+4A3E,175.3,11,,,
䨿,U+4A3F,175.4,12,,,
䩀,U+4A40,175.7,15,,,
䩁,U+4A41,175.12,20,,,
䩂,U+4A42,176.4,13,,,
䩃,U+4A43,176.4,13,,,
䩄,U+4A44,176.4,13,,,
䩅,U+4A45,176.5,14,,,
䩆,U+4A46,176.5,14,,,
䩇,U+4A47,176.5,14,,,
䩈,U+4A48,176.7,16,,,
䩉,U+4A49,176.7,16,,,
䩊,U+4A4A,176.8,17,,,
䩋,U+4A4B,176.11,20,,,
䩌,U+4A4C,176.12,21,,,
䩍,U+4A4D,176.12,21,,,
䩎,U+4A4E,176.13,22,,,
䩏,U+4A4F,176.15,24,,,
䩐,U+4A50,177.3,12,,,
䩑,U+4A51,177.3,12,,,
䩒,U+4A52,177.3,12,,,
䩓,U+4A53,177.4,13,,,
䩔,U+4A54,177.4,13,,,
䩕,U+4A55,177.4,13,,,
䩖,U+4A56,177.4,13,,,
䩗,U+4A57,177.4,13,,,
䩘,U+4A58,177.4,13,,,
䩙,U+4A59,177.5,14,,,
䩚,U+4A5A,177.5,14,,,
䩛,U+4A5B,177.5,14,,,
䩜,U+4A5C,177.5,14,,,
䩝,U+4A5D,177.5,14,,,
䩞,U+4A5E,177.5,14,,,
䩟,U+4A5F,177.6,15,,,
䩠,U+4A60,177.7,16,,,
䩡,U+4A61,177.7,16,,,
䩢,U+4A62,177.7,16,,,
䩣,U+4A63,177.7,16,,,
䩤,U+4A64,177.7,16,,,
䩥,U+4A65,177.7,16,,,
䩦,U+4A66,177.7,16,,,
䩧,U+4A67,177.7,16,,,
䩨,U+4A68,177.8,17,,,
䩩,U+4A69,177.8,17,,,
䩪,U+4A6A,177.8,17,,,
䩫,U+4A6B,177.8,17,,,
䩬,U+4A6C,177.8,17,,,
䩭,U+4A6D,177.8,17,,,
䩮,U+4A6E,177.8,17,,,
䩯,U+4A6F,177.9,18,,,
䩰,U+4A70,177.9,18,,,
䩱,U+4A71,177.9,18,,,
䩲,U+4A72,177.9,18,,,
䩳,U+4A73,177.9,18,,,
䩴,U+4A74,177.9,18,,,
䩵,U+4A75,177.9,18,,,
䩶,U+4A76,177.10,19,,,
䩷,U+4A77,177.10,19,,,
䩸,U+4A78,177.10,19,,,
䩹,U+4A79,177.10,19,,,
䩺,U+4A7A,177.10,19,,,
䩻,U+4A7B,177.10,19,,,
䩼,U+4A7C,177.11,20,,,
䩽,U+4A7D,177.11,20,,,
䩾,U+4A7E,177.11,20,,,
䩿,U+4A7F,177.12,21,,,
䪀,U+4A80,177.12,21,,,
䪁,U+4A81,177.12,21,,,
䪂,U+4A82,177.12,21,,,
䪃,U+4A83,177.12,21,,,
䪄,U+4A84,177.12,21,,,
䪅,U+4A85,177.13,22,,,
䪆,U+4A86,177.13,22,,,
䪇,U+4A87,177.14,23,,,
䪈,U+4A88,177.14,23,,,
䪉,U+4A89,177.15,24,,,
䪊,U+4A8A,177.16,25,,,
䪋,U+4A8B,177.16,25,,,
䪌,U+4A8C,177.17,26,,,
䪍,U+4A8D,177.17,26,,,
䪎,U+4A8E,177.18,27,,,
䪏,U+4A8F,178.4,13,,,
䪐,U+4A90,178.5,14,,,
䪑,U+4A91,178.5,14,,,
䪒,U+4A92,178.5,14,,,
䪓,U+4A93,178.5,14,,,
䪔,U+4A94,178.7,16,,,
䪕,U+4A95,178.8,17,,,
䪖,U+4A96,178.9,18,,H,
䪗,U+4A97,178.9,18,,,
䪘,U+4A98,178.9,18,,,
䪙,U+4A99,178.10,19,,,
䪚,U+4A9A,178.10,19,,,
䪛,U+4A9B,178.12,21,,,
䪜,U+4A9C,178.13,22,,,
䪝,U+4A9D,178.14,23,,,
䪞,U+4A9E,179.4,13,,,
䪟,U+4A9F,179.6,15,,,
䪠,U+4AA0,179.8,17,,,
䪡,U+4AA1,179.10,19,,,
䪢,U+4AA2,179.10,19,,,
䪣,U+4AA3,179.11,20,,,
䪤,U+4AA4,179.12,21,,H,
䪥,U+4AA5,179.14,23,,,
䪦,U+4AA6,180.3,12,,,
䪧,U+4AA7,180.3,12,,,
䪨,U+4AA8,180.3,12,,,
䪩,U+4AA9,180.4,13,,,
䪪,U+4AAA,180.5,14,,,
䪫,U+4AAB,180.7,16,,,
䪬,U+4AAC,180.7,16,,,
䪭,U+4AAD,180.9,18,,,
䪮,U+4AAE,180.10,19,,,
䪯,U+4AAF,180.10,19,,,
䪰,U+4AB0,180.13,22,,,
䪱,U+4AB1,181.3,12,,,
䪲,U+4AB2,181.3,12,,,
䪳,U+4AB3,181.4,13,,,
䪴,U+4AB4,181.4,13,,H,
䪵,U+4AB5,181.4,13,,,
䪶,U+4AB6,181.5,14,,,
䪷,U+4AB7,181.5,14,,,
䪸,U+4AB8,181.5,14,CK,H,
䪹,U+4AB9,181.5,14,,,
䪺,U+4ABA,181.5,14,,,
䪻,U+4ABB,181.5,14,,,
䪼,U+4ABC,181.5,14,,,
䪽,U+4ABD,181.5,14,,,
䪾,U+4ABE,181.5,14,,,
䪿,U+4ABF,181.6,15,,,
䫀,U+4AC0,181.6,15,,,
䫁,U+4AC1,181.6,15,,,
䫂,U+4AC2,181.6,15,,,
䫃,U+4AC3,181.7,16,,,
䫄,U+4AC4,181.7,16,,,
䫅,U+4AC5,181.7,16,,,
䫆,U+4AC6,181.7,16,,,
䫇,U+4AC7,181.7,16,,,
䫈,U+4AC8,181.7,16,,,
䫉,U+4AC9,181.7,16,,,
䫊,U+4ACA,181.7,16,,,
䫋,U+4ACB,181.8,17,,,
䫌,U+4ACC,181.8,17,,,
䫍,U+4ACD,181.8,17,,,
䫎,U+4ACE,181.8,17,,,
䫏,U+4ACF,181.8,17,,,
䫐,U+4AD0,181.8,17,,,
䫑,U+4AD1,181.8,17,,H,
䫒,U+4AD2,181.8,17,,,
䫓,U+4AD3,181.8,17,,,
䫔,U+4AD4,181.9,18,,,
䫕,U+4AD5,181.9,18,,,
䫖,U+4AD6,181.9,18,,,
䫗,U+4AD7,181.9,18,,,
䫘,U+4AD8,181.9,18,,,
䫙,U+4AD9,181.9,18,,,
䫚,U+4ADA,181.9,18,,,
䫛,U+4ADB,181.9,18,,,
䫜,U+4ADC,181.9,18,,,
䫝,U+4ADD,181.9,18,,,
䫞,U+4ADE,181.10,19,,,
䫟,U+4ADF,181.10,19,,,
䫠,U+4AE0,181.10,19,,,
䫡,U+4AE1,181.10,19,,,
䫢,U+4AE2,181.10,19,,,
䫣,U+4AE3,181.10,19,,,
䫤,U+4AE4,181.10,19,,H,
䫥,U+4AE5,181.10,19,,,
䫦,U+4AE6,181.10,19,,,
䫧,U+4AE7,181.10,19,,,
䫨,U+4AE8,181.11,20,,,
䫩,U+4AE9,181.11,20,,,
䫪,U+4AEA,181.11,20,,,
䫫,U+4AEB,181.11,20,,,
䫬,U+4AEC,181.12,21,,,
䫭,U+4AED,181.12,21,,,
䫮,U+4AEE,181.12,21,,,
䫯,U+4AEF,181.12,21,,,
䫰,U+4AF0,181.12,21,,,
䫱,U+4AF1,181.12,21,,,
䫲,U+4AF2,181.13,22,,,
䫳,U+4AF3,181.13,22,,,
䫴,U+4AF4,181.13,22,,,
䫵,U+4AF5,181.15,24,,,
䫶,U+4AF6,181.15,24,,,
䫷,U+4AF7,181.16,25,,,
䫸,U+4AF8,182.2,11,,,
䫹,U+4AF9,182.3,12,,,
䫺,U+4AFA,182.4,13,,,
䫻,U+4AFB,182.4,13,,,
䫼,U+4AFC,182.4,13,,,
䫽,U+4AFD,182.4,13,,,
䫾,U+4AFE,182.5,14,,,
䫿,U+4AFF,182.5,14,,H,
䬀,U+4B00,182.5,14,,,
䬁,U+4B01,182.5,14,,,
䬂,U+4B02,182.5,14,,,
䬃,U+4B03,182.5,14,,,
䬄,U+4B04,182.6,15,,,
䬅,U+4B05,182.6,15,,,
䬆,U+4B06,182.7,16,,,
䬇,U+4B07,182.7,16,,,
䬈,U+4B08,182.7,16,,,
