quick3_code,candidates
cd,銖錚鎳鑠釪釨鉌銤銌銇銝鋍錞錁鍒鍱鎎鎟鏬鏿鏶鐰鐷鑅
ce,鈑鈹錄鍍鍛鍰鏝鑤鈒鈙銢鋄銶鋟鋑錣鋷錂鍜鍐鍑鎪鎩鏮鏺鑀鑊鑗钁
cf,鍊鍬鎢鏢鏍鑣炃鈥鳻錟錼錝鎷鎍鵜鵒鏚鏣鐐鐎鶲钂
cg,鈕銓銼鋰錐鍾鏜鏗鐘鐵鑼坌釷鉒銍銈銋鋌錴鍠鍷鏙鑸鑵
ch,分弟鈔鉍銻錫鍚釤釮鈖銵鎀豂鏐鏒鐋鐊鐬銹
ci,公釵釣釩鈴鉉錢鏘鐲鑄谹釸鈦鈆鈜鈺鉧鉣銩鋐鋝鋨螸鎡鎒鎛鏹鏄鏀鐏鐖鑆鑮鑱钃
cj,針鋅鋒銲鏈鐸鑷釬鈄鉺銔錍錌鍕鎨鏎鐔鏵鑝
ck,父鈸鉸鎂鍥鏃攽敓釱鈌鉠銦鋘鍭豃鏌鐓鏾钀
cl,丫斧卻釧爺鉀鉚弚邠郤鈏釿銂鄫鋉鎯
cm,翁釭鈞鉗錘鏟鉦鉭鉏鉎鉽銊谾鋞錏鋋鍹鎉鎈鏏鑯
cn,剃爹釘釗鈐瓮釔釕釚釳鈧鉶鉹銕鋓鍆甑鍘鑏
co,欲欽鈇錠釽鉯鈲銚鋏錸鍉鎵鏇鏦鏷鐌鐻鐩鐱鑳
cp,忿慾錕釴鈊鈚鉈鈮鈱銠鋱鋕憌錵鍶懖鎞鎴鏕鏸鐿豅鑢鑨
cq,鍵谻鉡鉾鍏鏻鐽
cr,谷釦鈷鉛鉤銅銘鉻鋁鋸錡錮鍋鎔鎚鎗鈳鉊鉆鈶鉰鉐谽銛銗鉿銣銡鋙鋯鋊鋦鋡錧錒錭鋿鍼鍣鍧鎝鎕鏂鐑鑩
cs,兮鈣鉅銬鋤鍔鎊鐫釢釫鈁鋮銙鐒鐪鑶
ct,盆鉼錳鎰鑑鑪弅鈃鋀錛鎧鎑鐙鑉
cu,兌岔爸鈍鉋銑銳鋼鏡鐃釓毤鈀鈂鈗銃鉬銫銧鋎鋧錈鋺錓鋾鍎鎲鎤
cv,銀銨錶鏤鑲釹鉞銥鋃鋩鋠鋹鎃鍖鍻鍡鎱鐶鑞
cw,鈾鈿錙錨鐳鐺鎦鐇鑭
cx,鏽錎鍤鑇
cy,釙鉲鉖鋂
d,木
da,杳柏楮楷槽檜櫓栒栺棤棔椿皙榰榗槆槢樴橧橁櫡櫧
db,柿柄梢桶棘棗棉棚槁構橘橢橋朿枘柟栜栯梋桸棆棈楈楀楄楴楜椯榍榾樀樆樠槦樇檛檎檽檷韝欈
dc,棋楨槓頗橫賴檳櫃櫝朳枳柶柼栱梖椪椇榠槏槙樍賚樲橨樻檟櫇櫍欑韥
dd,李林株梱棵森榛樑橾杅杝杍柂栫桴桲梌梊棌椈棎棞棦椕椸楪楙楺榤樔樼橖檁韕韖韘櫟櫯
de,皮枝板梭梂棣椒樣隸极杸柀梫桼棱棷棳棴椵楥椴榎槾樧檓檴櫠櫌欉
df,杯杰柬紮棕焚楝禁標槭樵柰梑棪椋楸榚榪榡榞槂槱樏橑橪鶆鶇鶒鷘欓鸉欙
dg,杜枉柱框桂栓梃椎榷櫂檯權杻桎埜梐桯梩桷梉桽楏楻榳樘樦橦橍檉欋欏
dh,才材杉杪枴彬梯楊鬱枒枌柲桫梤棼楌樛槮橕檅
di,寸村杓松梵棧韌楓槐榭樽樹機檮櫥杈杋构枟柎柃蚻榑榯蜤槸槫橶檥檒欂欃蠜韣欘欚
dj,末杆杵枓枰梓桿棹楠楫榫樟樺皯枺栮桻椑椊楎槔榵韎槤槲樥橝橭樿檡櫆韗韟韡
dk,杖枚校敕梗楔模樊橄檄夬杕柍柭栚猌楱楩楑槉榩榽韍樉橔
dl,束析柳柙梆榔椰槨櫛朻柛桏栭栦楖梀梛郴郲棩郼鼒
dm,本杠柑查柢桓栩植極榻整檀枑枃柸柤柦栻桱翉椌椏棫梴楦楂棰槎槥槿樝槶橿櫪櫼欞
dn,刺杭杼剌栘桁榆檸刌朾朹机杚枔柫桋栵梣棽楟楋椼橩檦
do,來柩核桃楚樅樸橡檢檬枎杴柣柧柉栨梜欶棶椓楰椗椽僰樕槬橛檖檨檚檺櫞
dp,枇棍想懋麓欐朼杙杺杹柁柅栳惁棯棇楒憖橞檍櫳
dq,韋棒攀杽柈揧楗椲舝橉樨檞櫸
dr,杏枯柯枸桔桐格梧棺椅楛榕槍槌樞檐櫚礬櫺柘枷柌枮栝桮梮梏梒桾梠棓椐棝椆椥楉楁椷榶榙韐橏檹檶櫙櫮
ds,朽枋柞楞榜榨朸杇枍柜枵柺柪栲桍梬樗橯檇櫋
dt,柵械楹橙檻枅枻柆栟梇梪榼榿榓橀韞櫨
du,札杞枕杷相梳桅皰梔梡概楣榣橇橈櫬欖杌杬杶枆枙柷柮枹桄梲棬棡楯榹榥樈槻槴檤櫏
dv,根婪棲樓櫻桉桹桭桵椄棖椹楬椳椻榱榬榐樾橠韔檭櫰欀
dw,東柚棟榴檔檣欄栖椔楢楅榃樄橎檑櫑欗
dx,樁韜槄橚櫅櫹
dy,朴柝梅柊栴棜棑榧檌
e,水
ea,汨泊洵渚湣漕潛澗汩沓涾涽淐湆湝湷溍潳潽潧潪澮瀦
eb,沛洧消浦涓涌清淪淆湖渭湍溯溝滑漓滴漏滿滯潸潮濡瀰灞汭淯浠淜湇湑湡渧滈滆溮溣漘漰滫潃滽潏潲濄澫濔濿濷瀡瀹灊
ec,泗洪淇淦滇演漬潰潠濂澦濱瀆瀨瀕汃泬沭浿浾湴淟湞溟溓溳濆澒潢潩鋈澬鎏鍌鍙瀇濻瀢瀩顙瀵瀷瀻灒灝灦灨
ed,汙池沐沬染柒桑浮梁淳淋深淨游渠溧粱滌潺澡灤洊洙浡涍涂浨涃淭淉淗渫湤溱滁滐滊滹漅澖潗澯澲濼
ee,沒汲泳波浸浚淑涵渡湲漾漆漫潑澱濩瀑汳汥沝淩淥敪淼溲溙滱漃漮澓潻濴濲瀔瀀瀫灁
ef,涼淙淡源滅漂漯漁潦潔潟燙濕鴻瀉鯊沶洃溈湅渿湠湫溔溹溤漹漈潶潕潐潫澋澿濝瀌瀠鵽瀿瀳鸂
eg,汪注浬涅涯淫淮渥湮湩湟塗溼潼潤濯濰灌灘圣洭洼洷垽浧淕堻湹塣滏溎漼漜漟澭濉瀍瀅瀖灈灉灅灕
eh,沙汾泌涕涉湯渺滲澎沏沕泲沴浵漻滮漡濊濏灪
ei,叉汐汍汎汰法泓泠蚤淺淞滋溥滷潯濁濤濺汊汋沄汯泫泭浤涐淂渢溽溞滍溾溡漙漒澍澐濈澪濧璗瀎瀜灂瀺灟魙
ej,汁汗汛沫洱淬湃渾滓準漳漣潭澤汻泙涆涬淖湳渳湒滜滸滭潬澕澣澼濣濢灄灛
ek,決沃汶泱洶液淚湊渙溪溴漠澈澳激瀲汏汱沷洨洑浂洇洢浭浟涘涋洖淏渼渜湀湨湥渶溦潎漵滶漺澉澂潡潣澞
el,沖沂泖洲浙淵淅湎漸汌沜洏浺洍涑淠漷澌濎瀄濞
em,江沍沮泜洹涇涎渲渣溺澶澀瀚瀝沚泔泍泹泩涳淢淔淽渱湦溠滃滻漍澅潝瀣瀸灗
en,汀汽沆沸洌涔涮湔測渝濘瀏瀛灣氿汔沀泞洟洬洐剟浰淛渟漧滼瀱
eo,泅泛洮浹涿漩漢漱濠濛濮泆泒浞淀淶欼湜溛溷潀漇漎潒濋澽澨澰歠
ep,沁沘沱泥泯洩涊添混懣濾灑汦沎泚淴淰惉溗漉漶潓澺澸濍濦濨懘瀧瀗
eq,洋津泮洚洠浶挲湋湕溿潾潿潷澥
er,河沽沾沼沿治洞活洽洛浴浩淌涸涪減渦溶滄漪澹呇泂泃泀泇沰洳洄洺洁洉涒浯浻涫涺淍涻湉渽湁渃渮湱渹硰溏滒滘碆漚澔潞瀯
es,污沔湧渤滂氻汸泐洰泑洿洘涄淓澇
et,泣泄洫盜溢溘溫澄澧濫盪瀘汧汫洴浢渀盓渰湓溰漭濜濭瀊灃灆灩
eu,氾汕沈沉沅沌況泡流洗洸洎浥淹淘港湘溉湄滬澆澠濬汜沋沇泏洈浣浘涗浼涀涴淈淝淲淣毲渻湸湚滉滵漞瀙灀灚灠
ev,汝派娑浪婆淒湛渴裟滾漲濃澴汒泧洝浽渨滖溒漊瀁瀤瀼瀴灢
ew,油酒淄溜潘瀋瀾沺洒浀涷湢渵滀濇澢灡
ex,滔濟瀟淊潚
ey,汴海淤泝洀灖
f,火
fa,粕嘗熾燴糟焟粨熠糌熸糬
fb,肖炳脊常烯幣精糊燸糯帣烠烳焆焨煸煟煓熇熁膋熵熥糈燏燆糒燤爚糲
fc,烘煩賞糞類烡熐熉頖熿熼燲顃鎣爌纇顲
fd,米籽棠煤榮燦燥爍灺炑烰焞煣煠熂粿糅燊爃
fe,叛煆煖燮燬糠爆粄焌敥滎熳燰
ff,炎煉熒粽燎燃糕縈燻黨鶯鱉焱絭煍熛禜燋燚爊鶺鷩爣
fg,灶堂雀塋煙煌瑩糧耀炄炷烓烇粈烶煃煄粴觠熞燿爅爟粧
fh,少券炒粉煬糝灱粅焍烿牚爩
fi,灼炫螢燭糰炂炩籿燖燇糔糐燨糨蟞燽爝爞蠽
fj,料焊烽粹輝炓籵籸粁粖焠焯煇煢煂粺熚燂燀燁燡
fk,尖敉敝敞煥粳燉燠糢炔炆炴粀焲煐獘燘糗
fl,鄰炘粌郯
fm,粗煽灴炟炡烜烒烴烻焢煋糑翷爧
fn,判炕削彆弮籺剡烆瓽熪甇糋甐
fo,炊豢燧尐烑烗烼欻焮熯蹩
fp,焜熄燜斃烢憋熝熜燱麊
fq,半拳烊掌犖燐牶揱煒煡韏
fr,尚炯炤烙焙熔糖營糙烔烚焗焐焓焀粘粡煔煘煰煻熗熰謍
fs,劣炬炸烤勞粔爔
ft,粒煜弊燈燼爐烅粣焺熅熆熤爁糮
fu,光卷炮省眷氅燒瞥炖炾党烍粑粍烷焥亃煝粯熀熩覢罃覮虩鄨齤爦
fv,煨裳籹烺嫈煁嫳粻粼熡褮爙
fw,當爛粞煪燔醟糷
fx,焰熽爓
fy,炵烞烸
g,土
ga,堵增赭馨堷韾
gb,冉埔堉趙幫壩埇埽堋埥堣堶塉塙塥墉墆塴墑壖趫毊
gc,赤填赫墳賣頡壙贅埧塓塤趛鋆赬贄壝趪鏊鏧顤趲
gd,地圩垀垛垺埻堔堁埩埰堞塛趎趓槷趜壈趮
ge,圾坡赧報殼鼓穀趣轂夌埐埭堎埱嗀彀嗀墁榖漀瞉敼縠赮觳豰皾鷇
gf,坏塢熬熱熹壎燾埮堜墂燅縶鴶趭鵱驁騺鰲鷙
gg,圭埋堆墊臺坴垤垚埕埆堐堙堹堭墔趖墥趡趯鼞
gh,場彭趁坋埸赻趀墋
gi,去寺封執塊塒壽螫圴坶坽埒埶堍堸尌赨塼墫壿螜壔螯蟄鼜
gj,坪幸埠埤趕聱聲鼙毐垶赶埣墇墠趠墿鞤
gk,埂埃敖赦堠塽墩坱垘赽堧塻獒墽墺壧
gl,圳圻坤赳郝邽邿垹墎鼘
gm,址均坩坦垣域壺塌墟壇翹壢坯坵坻埴埏埡赹堩埵趄塕堽壼趐墐翿
gn,坑圢圪坅刲坲垿埁堬趍趔墘甏
go,坎走垓堤款塚壕垗欯瓡趑趒墣壉歖趧
gp,志懿坁坭坨垞恚塨塶愨慹
gq,墀摯坢垟垏埲犎摮摰
gr,吉坷垢培喜堝超嗇塘塔嘉趟磬坫坰垌垥埼堌堿塎趌趏墡赯謷謦謺嚭鼛囍
gs,圬劫坊城垮勢劼坳赲堮塝墈壾
gt,垃盍壹塭壴塏墱壏壒盩壚壣
gu,圯起堯境罄趨瞽鼇圠圮坉垝垙垸赸埢堀堈堄堳趉亄赩覟墝鼁鼀趬覿
gv,垠袁喪堪堰越壞壤垵埌堨塿朅鼚
gw,墦埬堛塯趥墻
gx,埳壛
gy,坍卦坼赴鼕
h,竹
ha,白昏徇香舶筍箔箸稽簪簡籍昋昝稓皛氆徻濌簎艚氌穭馫
hb,帛肩帥師稍稀策犒稱稿篇篙篩歸魎魑籥帠舑幋稐筩筲艄犕稰稨箐箍皜艑犞篝篟穚篱艜魈簥犡簼簻鶳鼱黐
hc,貿須箕與質積興頹輿颶簧簣犢簾贊顧籟黌籲秫犋舼稘頎稹篊頧篔篢鴥穔簀顊顅簨魌穨馦鶀穬籅鼰贕鼸籫軉
hd,乎禾朱朵牠釆季竽徐臬梨梟稞躲孵槃箏魅學築篠牸秝棨犉稃稌稕稛筡艀艅箖箘箷艓篥篨馞鵌皪
he,反役彼後段泉皈叟殷舨般毬復黍毀稜稷黎艘馥穫簸颼籐殳彶笈笝笯徦稄犌稯箙鬾艐毈毇澩鵔犦忁籙齂艭犪鸔灥
hf,系秋烏鳥毯鳳禦篤鵝鵠纂鱟爨衃徖扊舄熏綮舕熧穄篜縏鴔鴩鴟燢穛篻鴸鴰鵅鵃鴭簝鵖鵚爂犥鯬鵳鶂鵯鵹皫穮鶞鶣鶖黧飉魒鷎鶹鷌鷍鷑鷮鷭鷽鸄鸒
hg,壬牡往皇重凰徨程筐雇稚艇種雒篁籬籮垕垼牷衄秷觕筌筀稑筳艎壆犝篞篧穜簊艟魋鵻籉籊觷鼮籗籦
hh,身物秒秘第穆穋穢颺釁舠牬秎秭笏牻笫稊颩颬馝篎穇篸鼢簜飂飋
hi,凡么丟夙舟卵我私的待禹風射特鬼得符舷等筏箋魄篡篾魏簿籌彴彸牣彾瓝牳皊蚕笭舲皒蛗睾箹蝵斶穖篿螽簙艤颾鼭璺衊皭穱籛魕艬瓥鸃
hj,千卑阜拜科竿皋秤秣稈筑箄魁篷聳鼾簞釋夆皁戽毧斞衈犐稗筸艂箤皞篳簟簰簳鞶轝籜鼲
hk,夭囪戾牧秧笑臭啟皎奧微筷徹徵篌鴃徽簇黴囟笅筊徯犑筱徶瞂氁箯魃徼敿徾簆鼤鼣皦簢鼥籔鰴鼵鼳鷻鼷
hl,斤卯印卹所秉邸卿御郵節鼻鄱卬种邾郋郈舯郜筇笚舺郳郫笻鄅鄔鄋鄎箅鄡鬿鄮篽篰酇籪
hm,氐生征竺垂牲牴徑扇租甜笨笙筠筵箝箠翩篛翱翻籤徂彽笁舡甡秠秪笉牼笪犆稙稢箜艖簅篲簂魊鼪舋魖齇
hn,几行利刮制剁彿衍航躬移術剩街衙銜劉箭衛衝劓衡衢衎笐笒笰衒衖衕鳦瓾筣鳧甀甂甃箌劄甈箾衚颲鼽簃齀籈劗籯
ho,八爪乏失瓜欣臾徒秩徙從徠筮稼篆簌歟簽彳瓞笊徥筄臮歃筴歍歋箑箛箂篋篴簁簐穟艞籇艨躗籧
hp,氏牝皂乖忝怎乘息舐悉舵愁愆稔慇舔德慫憩篦鴕穗懲穩籠乇秅秕秖秜笓皉秺笢毸馜簏颸徿犤
hq,牛律徉犁掣筆毽肇舉甪牪徫舽揫犍搫稦徲篫犩
hr,各向后舌吞告和咎徊牯徜笞船喬犄皓筒答稠管箇颱磐箴躺颳艙黏軀簷鼯譽扂扃秮徛徟牾牿秸笴笥笤笳笘笱笸舸毰筈筎筘稒筥筶犗箈颭箬簉礐簭鼫鼩礜簬齁嚳譥讆
hs,戶乍彷秀房舫動笮甥筋徬粵舅勳犧牞劮竻勂秬舴舿筰勫篣艕簩艣軂籩
ht,升血扁笠算艋皚盤盥籃艦盉笄舁皏笲筭篕艗簋簠簦馧鵿籚艫
hu,毛卮先自禿兒爬秈看盾舢島笆兜扈嵇循皖稅筧箱範覺癿戺峊秏毨瓟眚笎舥虒笵笣兟毳犈犅筅徭筦艉覛犓穊箎颮皝箵艏艒覣嶨嶴篹篪篘臲穘馣鷈鼶齆
hv,委很裊鼠製簑簍穠魍鼴笀扆媝稂媻筤嬃魆褩躽艛犣忀穰齃齈齉
hw,留笛番釉穡鼬籀籣徆牰毢秞舳稫皤簹艡籓飀
hx,臼稻簫臿穧艩
hy,冬斥徘扉靠箊篚馡鼨
i,戈
ia,昶庴廜廥禬
ib,甫席朗庸廟膺禸凊廗禘禰禲禴
ic,朮麻貳廉祺資禎廣賡鏖麒凎貣貵廎廙禛顑顣黂禷禶
id,床凜糜麋祂庥枲凈庨栥祩秶粢楶祼禖廩穈麇麜
ie,永冰求度凌康廄皴廈祿廢慶庋祋庪庱祲廋禐黀麚
if,為庶戚馮熊鳶鷓鷹炱絫廌緳廡禚禡麃凞鴘縻鴾鵏鶊鶶鷛爢
ig,社准庭座塵庄庢凐隿凗塱塺禋廛觱麈廱
ih,戊祕參廖尨庌庬禓
ii,戍冷府麼廚禱魔麝戔礿庤尃祔祛廆廕螚禨螷飆蠯
ij,戎庫禪庳軬祽禈廦禫麛
ik,犬矣祆救廠敷犮冹祅祓猋廒禊麌
il,州祁祈郎神廊廓臧鄘廝庍邰祌祄郕郙鄬凘鄜鄺
im,式戌底或祉祖祗冱彧祤廑禢禤麆麠
in,划序冽瓷廁麂庈剆瓵剫剼劘
io,之次庚庾腐凝蹙庂庣欴祑庹庲欸祧禔禒廞禭
ip,弋庇怠祇恣能鹿惑感態慼憑應龐廳庀忒庛怷麀廘禗慦廲麤
iq,牟庠祥摩麟禕犘廨廯
ir,台冶店咨咸凋唐祐祠禍磨禧冾凅祏祜祒祫凔祰禂麔麙
is,成祚礽祊
it,弁戒盛盞禮廬庰盚祴廅
iu,允尤庖祀祝庵廂視麾庉冼祪祹毿禠麍麑
iv,良姿威裘禳戉凄祣祳廔餈麎廮
iw,凍畚福庮廇廧
ix,麡
iy,靡
j,十
ja,者耆宿暫窨
jb,帘宥胡宵寓朝輔輛輪轎竊巿窉軜寎輎輤輣輲麶
jc,穴真寅賁實賓戴賽額鏨顛寶竇寊軹寘輁頍窴賨頞顁轒鑋
jd,未字宇孝孛宋案栽寐窠寨榦麴穻寀窏窙孷槧輠橐窱輮寱檕轃轈櫜轏轢
je,支寇寂寢輟軗寑寖嘏毄漦輘輹鼖
jf,宗索煮察寮寫窯鴣繫騫寪輬鳷窵鴳鵓轑鵷鶈鶟鶘鶦鶷鷏鶾鶱鷒鸋
jg,室窒耋塞輊塹截窪釐窐軠臷軴輇漥墼雗
jh,穿寡寥宓軫剺轇
ji,守宏軔專麥博戟蜜寬轉蠹穸軓蛓軵軨戭輚攳螒麮蟗蟿轙轛
jj,廾車南宰軒辜幹載斡輯轟軯窣窲轋轚
jk,丈吏故突教窗較寞輳竅轍宎穾軑窔軷軮窫
jl,宦斬都麵宧窌郣郪輀鄟窷
jm,士宜直空宣翅軾輕翰窿矗軧窢翥翸轣
jn,究事穹剋軌剜乾割寧窮輸宁宄穵剚軡軶剸窬麧
jo,定家窕軟軼麩疌宨窆窊寁寔胾軱寙輆疐窳歕寲窾蹇蹔斄轐
jp,它宅老惠輥憲寵軝悹惌窸轆轗
jq,牢搴犛擊韓轔甯麰
jr,古官哉客害宮容寄窘窖軻寤窩豁轄宕耇宭軺軥軩輅寣輑輍輖磛輷謇
js,考協勃窄窈勀宬寯
jt,卉寍軿轀轞轤麷
ju,七克完宛軋耄軏密軛窟兢輒輓窺宒窀窅窋窇軘軞寋軦輐氂輗輴麭竀竁罊覾
jv,安妻宴宸裁輞寰輾轅竄囊嫠寠窶褰輵轕轘
jw,宙富軸審輜輻酨輶轓轖轠
jx,窞
jy,寒輈
k,大乂
ka,旭奢猖奭旮瘏痻瘖獪癐
kb,布有希肴狷病脅帶猜痛獅猾瘠瘸瘺癘癟冇狶猏痏猢猵痡痟尳痭獝獢獳獮癇獼癵
kc,狽賀痲頰獷獺癩癲狖疻頄痶獚瘨癪
kd,存架猓猙痳狳猱痚獉痵
ke,友疫疲殺痠瘦瘢獲狻攲敧殽猳猣獀獌瘕瘝癈獶癜獿玃
kf,灰狄奈疢痰鳩駕療鵪狋獂猻綔獠獡瘭瘵瘰鴐獯鴮鵊鵗鵟鵸鷞鷯鸑
kg,在狂奎狸痊雄玀癱尪狃狅狴疰尰痤痽獞瘞獾癰
kh,疹瘍犽猀痧痝獩瘳
ki,丸太狩套痔奪瘋獨厹尥狑痋猦猼瘙瘣
kj,瘁痺獐瘴癖犴狨耷猝猈癉奲
kk,爻狡疾爽猴獄瘓癥猰瘈瘊獙獥瘯瘼癓玁
kl,尬狎疥郁夼狆奅狾郟郗郩痹奫獑癤玂
km,左狙症疳疽疸猩痙弒瘧狉狚狌疘狟翃狿戫瘥瘽癃
kn,九刈夷疙剎痍痢瘉獰犰犵犺疔刳狒奓剞猁疿猘痑瓻痸瘌
ko,夾狐疚狹瓠獗癡狣疺欷痎欹猭瘃瘐獛瘚獫瘲閷
kp,疵痣勰癒癮疕狔狫疧疪悐猑瘜瘛瘱
kq,癬羍痒獬
kr,加右奇狗痂痞痴奩瘩瘡狜狤狪訄哿狺痁痀猗猞痌痐猧痦獊痯痾痼瘑瘔癚
ks,力夸癆夯劦痄
kt,奔猛盔痘瘟尷狦疶
ku,尢犯奄疝疤疣匏癌狁毠峱虓猇猊馗毻猺痷獍獟
kv,狠狼痕袈猥猿痿獵癢奿狘姭猲獦獧癙獽癭
kw,猶瘤奮癗
kx,癠
ky,疼瘀痱犿痗
l,中
la,帕書褚幟褶蚎衵帾袙蛨袹蝫蜡裮蝔螬蟙襘蠩襫
lb,巾冑胄背蛹補蜻牖蝴蝙褊鬧蠕蠣帩蚋衲蚺蛃袡蛸蜎蜅裐蜦裲蝑蝟蝺褅褙螖螄褯螪螭螮褵蟜襋襉襦蠵
lc,幀費貴順頫冀螟鬨牘袕幁幎幊幘蜞幩蝜蝢賮螾蟦蟥蟤蟘蠀蠊蠙襭襩襶
ld,蛛牒裸蝶褓衧衪蚞袘棐袸袾蜉蜍裍蜳蜾蜠蝣蝚褋幧螓褬蟂蟝蠂襙蠑
le,版被幔蝦複帔沊蚑衱衼蚾蛷蝃蜬蝂裰裬蝯蝬蝮褑蟃襏蠖襮蠼
lf,鴆螞鴦螺襟朄裧幠幜蟡螈螐蟅螵褾蟟蟔蟭鷜鷫
lg,衽帷蛀蛙蛭蜓裡幢蝗螳幄蜌裎蜼蝩螲蟶蠗蠸蠷
lh,初衫蚜暢蜴虭蚡衯袗蛖幓裼蝪蟉襂蟛
li,帆虫蚣蛉蛾褥蟲蟻襪虳衩帴蚿蚹袨袪牋蛶蜙蜚螝幬襁幭幮蟳蟣襑蠋襡蠛襺襼蠾
lj,蚪蚌牌蜂幛裨蝌輩褲蟀蟑蟬虷蜱幝蝻褌褳蟫襌蠌襗
lk,史央蚊袂斐蛟袱蜈數蟆襖帗蚗蚥奜蛂袚蛜裀幙蜧蝡蝧褉螏螇螑襒鬫
ll,川片申串邶蚓蜥螂邥虯蚚蚧衶鄁蝍蜵裫蝒鄪幯螹襣
lm,虹韭晝蚶蛆蚯袒畫幗翡蟈蚐袀蚳蚽袛袓蛵蜮蜒蝖螉褟螼蟺襢蠮襳
ln,弗鬥蜊劃蝓褕帄刜虰虮虼剕蚢蚙衿蛦蛚牏蝏
lo,兆蠍蠔帙蚨蚇衭蛈蛌袟幏蛺蜁裌蜨蝭蝝褆褖幪褷蟓襆襐襚襝蠓
lp,北曳忠衹患蛇悲蟋襬虴蚍蚔袉螅褦螰蟌蟪幰蠬襱襹
lq,聿羋幃牉袢蛘蛑袶蝆褘襻
